l2bn,l2ts,batchTimestamp,delay,batchPosterAddress,batchNumber,batchDataGas,l1BaseFeeWei
160381101,1702653419,1702652831,-588,0xad8663715b08f41a3aec47cc,443775,1562146,89351508854
160381102,1702653419,1702652831,-588,0xad8663715b08f41a3aec47cc,443776,1532052,89351508854
160381103,1702653419,1702652831,-588,0xad8663715b08f41a3aec47cc,443777,1561530,89351508854
160381104,1702653419,1702652831,-588,0xad8663715b08f41a3aec47cc,443778,1577960,89351508854
160381105,1702653419,1702652831,-588,0xad8663715b08f41a3aec47cc,443779,1581268,89351508854
160381106,1702653419,1702652831,-588,0xad8663715b08f41a3aec47cc,443780,1555192,89351508854
160381107,1702653419,1702652855,-564,0xad8663715b08f41a3aec47cc,443781,1574594,96927327399
160381108,1702653419,1702652855,-564,0xad8663715b08f41a3aec47cc,443782,1477848,96927327399
160381109,1702653419,1702652855,-564,0xad8663715b08f41a3aec47cc,443783,1582246,96927327399
160381110,1702653419,1702652855,-564,0xad8663715b08f41a3aec47cc,443784,1567794,96927327399
160381111,1702653419,1702652855,-564,0xad8663715b08f41a3aec47cc,443785,1605266,96927327399
160381112,1702653419,1702652855,-564,0xad8663715b08f41a3aec47cc,443786,1522746,96927327399
160381113,1702653419,1702652879,-540,0xad8663715b08f41a3aec47cc,443787,1584720,93057411358
160381114,1702653419,1702652879,-540,0xad8663715b08f41a3aec47cc,443788,1502368,93057411358
160381115,1702653419,1702652879,-540,0xad8663715b08f41a3aec47cc,443789,1491556,93057411358
160381116,1702653419,1702652879,-540,0xad8663715b08f41a3aec47cc,443790,1475032,93057411358
160381117,1702653419,1702652879,-540,0xad8663715b08f41a3aec47cc,443791,1604776,93057411358
160381118,1702653419,1702652879,-540,0xad8663715b08f41a3aec47cc,443792,1357482,93057411358
160381119,1702653419,1702652879,-540,0xad8663715b08f41a3aec47cc,443793,1485534,93057411358
160381120,1702653419,1702652903,-516,0xad8663715b08f41a3aec47cc,443794,1540498,100425041979
160381121,1702653419,1702652903,-516,0xad8663715b08f41a3aec47cc,443795,1615102,100425041979
160381122,1702653419,1702652903,-516,0xad8663715b08f41a3aec47cc,443796,1551154,100425041979
160381123,1702653419,1702652903,-516,0xad8663715b08f41a3aec47cc,443797,1607708,100425041979
160381124,1702653419,1702652903,-516,0xad8663715b08f41a3aec47cc,443798,1597822,100425041979
160381125,1702653419,1702652903,-516,0xad8663715b08f41a3aec47cc,443799,1390650,100425041979
160381126,1702653419,1702652927,-492,0xad8663715b08f41a3aec47cc,443800,1472468,96302140238
160381127,1702653419,1702652927,-492,0xad8663715b08f41a3aec47cc,443801,1612306,96302140238
160381128,1702653419,1702652927,-492,0xad8663715b08f41a3aec47cc,443802,1560504,96302140238
160381130,1702653419,1702652927,-492,0xad8663715b08f41a3aec47cc,443803,1572012,96302140238
160381131,1702653419,1702652927,-492,0xad8663715b08f41a3aec47cc,443804,1577678,96302140238
160381132,1702653419,1702652927,-492,0xad8663715b08f41a3aec47cc,443805,1562340,96302140238
160381133,1702653419,1702652951,-468,0xad8663715b08f41a3aec47cc,443806,1552682,96510418531
160381134,1702653419,1702652951,-468,0xad8663715b08f41a3aec47cc,443807,1565966,96510418531
160381135,1702653419,1702652951,-468,0xad8663715b08f41a3aec47cc,443808,1601078,96510418531
160381136,1702653419,1702652951,-468,0xad8663715b08f41a3aec47cc,443809,1599728,96510418531
160381137,1702653419,1702652951,-468,0xad8663715b08f41a3aec47cc,443810,1529280,96510418531
160381138,1702653419,1702652951,-468,0xad8663715b08f41a3aec47cc,443811,1596858,96510418531
